tag,weight,IBI
tt14_126b,291,25.8
tt14_126b,291,23.6
tt14_126b,291,31.7
tt14_126b,291,32.7
tt14_126b,291,35.2
tt14_126b,291,44.1
tt14_126b,291,22
tt14_126b,291,23.8
tt14_126b,291,21.7
tt14_126b,291,30.8
tt14_126b,291,56.3
tt14_126b,291,31.4
tt14_126b,291,22.3
tt14_126b,291,18.9
tt14_126b,291,125.4
tt14_126b,291,4.4
tt14_126b,291,5.1
tt14_126b,291,5
tt14_126b,291,73.8
tt14_126b,291,4.5
tt14_126b,291,5.2
tt14_126b,291,6
tt14_126b,291,63.9
tt14_126b,291,17.9
tt14_126b,291,10
tt14_126b,291,8.3
tt14_126b,291,63.7
tt14_126b,291,10.7
tt14_126b,291,10.9
tt14_126b,291,96.4
tt14_126b,291,31.3
tt14_126b,291,23.2
tt14_126b,291,8.7
tt14_126b,291,65.8
tt14_126b,291,10.2
tt14_126b,291,10.3
tt14_126b,291,62.9
tt14_126b,291,15.2
tt14_126b,291,15.2
tt14_126b,291,18.9
tt14_126b,291,17.9
tt14_126b,291,19.9
tt14_126b,291,93
tt14_126b,291,9
tt14_126b,291,8.9
tt14_126b,291,12.2
tt14_126b,291,16.6
tt14_126b,291,14.6
tt14_126b,291,8.3
tt14_126b,291,10.2
tt14_126b,291,20.6
tt14_126b,291,9.5
tt14_126b,291,10.9
tt14_126b,291,12
tt14_126b,291,23.2
tt14_126b,291,19.1
tt14_126b,291,9.9
tt14_126b,291,12.2
tt14_126b,291,11
tt14_126b,291,11.8
tt14_126b,291,8.9
tt14_126b,291,61
tt14_126b,291,10.7
tt14_126b,291,12.4
tt14_126b,291,67
tt14_126b,291,21.1
tt14_126b,291,10.8
tt14_126b,291,13.5
tt14_126b,291,40.7
tt14_126b,291,11
tt14_126b,291,47.9
tt14_126b,291,46.6
tt14_126b,291,14.4
tt14_126b,291,69.1
tt14_126b,291,10.4
tt14_126b,291,9.7
tt14_126b,291,9.3
tt14_126b,291,41.5
tt14_126b,291,10.5
tt14_126b,291,7.3
tt14_126b,291,39.5
tt14_126b,291,16.7
tt14_126b,291,41.3
tt14_126b,291,20.3
tt14_126b,291,43.2
