Family,Genus,Species,Common,Common,Common,Body Mass (kg),FMR KJ/day),Method,Source1,Source2,,,,
Phocidae,Pusa,hispida ,Ringed,seal,,47.5,1084.1,?,Y,Y,Y,Y,148,
Phocidae,Pusa,hispida ,Ringed,seal,,72,1104.5,?,Y,Y,Y,Y,148,
Sirenidae,Trichechus,manatus ,W. Indian,manatee,,84,895,water,Y,Y,Y,Y,77,
Sirenidae,Trichechus,manatus ,W. Indian,manatee,,170,1518.7,water,Y,Y,Y,Y,77,
Sirenidae,Trichechus,manatus ,W. Indian,manatee,,427.7,1383.4,water,Y,Y,Y,Y,125,
Sirenidae,Trichechus,manatus ,W. Indian,manatee,,250,7312.2,water,(?),?,Y,?,N,231
 Afrosoricida,Amblysomus,hottentotus,Hottentot,golden mole,,0.07,9.8,air,Y,Y,Y,Y,156,8
 Afrosoricida,Chrysochloris,asiatica,Cape,golden,,0.044,6,air,Y,Y,Y,Y,271,8
 Afrosoricida,Echinops,telfairi,Lesser,hedgehog,,0.12,15.5,air,Y,Y,Y,Y,156,8
 Afrosoricida,Geogale,aurita,Large-eared,tenrec,,0.007,0.89,air,Y,Y,Y,Y,243,8
 Afrosoricida,Hemicentetes,semispinosus,Lowland,streaked tenrec,,0.12,7.9,air,Y,Y,Y,Y,244,8
 Afrosoricida,Limnogale,mergulus,Web-footed,tenrec,,0.078,6.5,air,Y,Y,Y,Y,245,8
 Afrosoricida,Microgale,cowani,Cowan's,shrew,,0.012,3.7,air,Y,Y,Y,Y,242,8
 Afrosoricida,Microgale,dobsoni,Dobson's,shrew,,0.045,6.5,air,Y,Y,Y,Y,242,8
 Afrosoricida,Microgale,talazaci,Talazac's,shrew,,0.044,5,air,Y,Y,Y,Y,242,8
 Afrosoricida,Nasua,narica,White-nosed,coati,,3.7,139.8,air,Y,Y,Y,Y,181,8
 Afrosoricida,Orycteropus,afer,Aardvark,,,48,711.3,air,Y,Y,Y,Y,177,8
 Afrosoricida,Setifer,setosus,Greater,hedgehog,,0.53,14.1,air,Y,Y,Y,Y,175,8
 Afrosoricida,Tenrec,ecaudatus,Tailless,tenrec,,0.65,15.1,air,Y,Y,Y,Y,56,8
 Artiodactyla,Alces,alces,Moose,,,325,5953.1,air,Y,Y,Y,Y,213,8
 Artiodactyla,Antilocapra,americana,Pronghorn,,,37.8,1078.9,air,Y,Y,Y,Y,261,8
 Artiodactyla,Camelus,dromedarius,Dromedary,,,407,4712.1,air,Y,Y,Y,Y,228,4
 Artiodactyla,Capra,Some,kind,of goat,,36,791.9,air,Y,Y,Y,Y,28,4
 Artiodactyla,Capreolus,capreolus,Roe,deer,,21.5,961.9,air,Y,Y,Y,Y,258,8
 Artiodactyla,Cervus,elaphus,Red,deer,,58,1880.2,air,Y,Y,Y,Y,27,4
 Artiodactyla,Connochaetes,taurinus,Blue,wildebeest,,140,3241.7,air,Y,Y,Y,Y,248,4
 Artiodactyla,Connochaetes,taurinus,Blue,wildebeest,,196.5,4774.8,air,Y,Y,Y,Y,220,8
 Artiodactyla,Kobus,ellipsiprymnus,Waterbuck,,,100,3126,air,Y,Y,Y,Y,250,4
 Artiodactyla,Odocoileus,virginianus,White-tailed,deer,,58.6,2964.9,air,Y,Y,Y,Y,236,8
 Artiodactyla,Oreamnos,americanus,Mountain,goat,,32,963.3,air,Y,Y,Y,Y,144,4
 Artiodactyla,Ovis,canadensis,Bighorn,sheep,,69.1,2213.7,air,Y,Y,Y,Y,39,8
 Artiodactyla,Pecari,tajacu,Collared,peccary,,20.5,688.3,air,Y,Y,Y,Y,276,8
 Artiodactyla,Rangifer,tarandus,Reindeer,,,94,2720.7,air,Y,Y,Y,Y,168,4
 Artiodactyla,Tragelaphus,oryx,Common,eland,,150,4167.9,air,Y,Y,Y,Y,247,4
 Chiroptera,Anoura,caudifera,Tailed,tailless,,0.011,4.9,air,Y,Y,Y,Y,171,8
 Chiroptera,Antrozous,pallidus,Pallid,bat,,0.022,2.2,air,Y,Y,Y,Y,151,8
 Chiroptera,Artibeus,concolor,Brown,fruit-eating,,0.02,4.6,air,Y,Y,Y,Y,171,4
 Chiroptera,Artibeus,fimbriatus,Fringed,fruit-eating,,0.064,9,air,Y,Y,Y,Y,53,8
 Chiroptera,Artibeus,jamaicensis,Jamaican,fruit,,0.045,8.9,air,Y,Y,Y,Y,171,8
 Chiroptera,Artibeus,lituratus,Great,fruit-eating,,0.07,12.5,air,Y,Y,Y,Y,171,8
 Chiroptera,Carollia,perspicillata,Seba's,short-tailed,,0.015,5,air,Y,Y,Y,Y,171,8
